2026-02-26 13:15:16 | SCAN | 0001-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0001-SLIP(1).pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0001-SLIP.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0002-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0003-SLIP.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0004-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0004-SLIP.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0005-SLIP.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0007-DENR-CENRO LETTER TO ATTY. CARLO B. GOMEZ.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0007-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0007-SLIP.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0008-BIRDWATCHING AND PHOTOGRAPHY PERMIT ON JANUARY 16-18,2026 AT IRAWAN ECO-PARK.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0008-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0009-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0009-MEMORANDUM CIRCULAR NO. 01 SUBMISSION OF SECOND SEMESTER, JULY TO DEC. 2025 OPCR ACCOMPLISHMENT REPORT.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0009-SLIP.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0010-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0010-MEMORANDUM CIRCULAR NO. 01 SUBMISSION OF 2025 ANNUAL REPORT OF ACCOMPLISHMENTS.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0010-SLIP.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0011-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:16 | SCAN | 0011-SLIP.pdf | Uncategorized
2026-02-26 13:15:17 | SCAN | 0012-ISINUMITE SA INYONG TANGGAPAN ANG MGA KOPYA NG MGA RESIDENTE NG BARANGAY LANGONGAN BILANG PAGTUTOL SA MGA PROYEKTO NG MGA PAGQUQUARRY SA LANGOGAN.pdf | Uncategorized
2026-02-26 13:15:17 | SCAN | 0012-MARGINAL.pdf | Uncategorized
2026-02-26 13:15:17 | SCAN | 0012-SLIP.pdf | Uncategorized
2026-02-26 13:15:17 | SCAN | 0013-REQUESTING A COPY OF THE HAULING RECORDS OF ARMADA COVERING THE PERIOD FROM JANUARY 2025 TO DEC. 2025.pdf | Uncategorized
2026-02-26 13:15:17 | SCAN | 0013-SLIP.pdf | Uncategorized
